trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2723,False,"{'a': 0.001, 'e': 0.0657431365792699}",35,13,34.42300051075105,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
2724,False,"{'a': 0.001, 'e': 0.06567742630330448}",30,16,25.802520445114116,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2725,False,"{'a': 0.001, 'e': 0.0656117817047708}",20,7,13.521202227052566,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2726,False,"{'a': 0.001, 'e': 0.06554620271802433}",30,22,14.718597163852472,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2727,False,"{'a': 0.001, 'e': 0.06548068927748603}",30,18,10.87375778392957,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2728,False,"{'a': 0.001, 'e': 0.06541524131764247}",30,19,20.767179448065086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2729,False,"{'a': 0.001, 'e': 0.06534985877304565}",25,3,34.02588577060443,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2730,False,"{'a': 0.001, 'e': 0.06528454157831308}",20,2,29.47261376395232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2731,False,"{'a': 0.001, 'e': 0.06521928966812753}",30,12,11.084751698303938,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
2732,False,"{'a': 0.001, 'e': 0.06515410297723707}",30,20,19.647554783061057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2733,False,"{'a': 0.001, 'e': 0.065088981440455}",30,23,12.853686459697006,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2734,False,"{'a': 0.001, 'e': 0.06502392499265983}",20,12,-4.357207699291367,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
2735,False,"{'a': 0.001, 'e': 0.06495893356879505}",30,20,21.000914838652147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2736,False,"{'a': 0.001, 'e': 0.06489400710386926}",25,20,10.189329056921727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2737,False,"{'a': 0.001, 'e': 0.06482914553295596}",20,9,23.674194661375385,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2738,False,"{'a': 0.001, 'e': 0.06476434879119362}",25,14,22.255576274267074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2739,False,"{'a': 0.001, 'e': 0.06469961681378547}",20,14,12.377810844552549,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2740,False,"{'a': 0.001, 'e': 0.06463494953599953}",35,18,10.340949584454515,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
2741,False,"{'a': 0.001, 'e': 0.06457034689316847}",25,16,14.798255613048225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2742,False,"{'a': 0.001, 'e': 0.06450580882068972}",25,5,-0.39992996605244513,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
2743,False,"{'a': 0.001, 'e': 0.06444133525402518}",30,0,42.4291261852823,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
2744,False,"{'a': 0.001, 'e': 0.06437692612870125}",30,16,29.60544140265998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2745,False,"{'a': 0.001, 'e': 0.06431258138030878}",25,18,11.402182720023333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2746,False,"{'a': 0.001, 'e': 0.06424830094450308}",35,14,35.49514377842365,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2747,False,"{'a': 0.001, 'e': 0.06418408475700368}",20,0,29.291698251329336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2748,False,"{'a': 0.001, 'e': 0.0641199327535944}",30,10,36.1712957391242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2749,False,"{'a': 0.001, 'e': 0.06405584487012317}",20,0,-11.352621214579106,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2750,False,"{'a': 0.001, 'e': 0.06399182104250219}",20,10,9.463768437061066,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
